education_years,age,experience,income
10,60,43,128449
15,50,29,93246
13,36,19,86091
18,29,6,72305
10,42,29,92460
8,60,49,123398
10,40,24,81925
12,44,27,90292
10,32,15,51855
8,32,19,69456
12,45,27,106271
17,57,34,120617
14,45,26,104981
14,24,4,50158
18,43,20,88054
16,23,3,54494
17,45,23,93496
17,51,29,103636
10,59,43,126498
14,23,3,71131
8,42,31,87664
11,54,40,104065
11,33,18,81754
12,43,28,85813
14,46,27,92334
14,48,28,108360
18,49,28,110978
11,37,23,79803
14,36,18,84547
18,24,2,60325
10,58,43,137316
13,28,9,60394
9,42,29,85093
17,30,10,71960
16,60,38,125098
12,39,21,90865
13,25,9,47768
11,46,31,104608
18,35,14,81370
17,30,7,78215
14,47,26,100919
16,23,0,61050
14,41,22,89169
8,49,38,109804
8,28,17,79710
16,29,8,64786
18,56,33,122342
16,35,14,78210
11,38,21,96344
16,57,38,122828
10,25,9,52438
14,23,4,53474
13,27,11,66414
15,25,4,54952
18,50,26,107652
16,39,18,90958
12,47,32,103976
8,55,42,121954
10,31,18,70745
17,57,33,120463
15,35,16,84868
18,52,30,134758
13,36,19,77099
15,29,9,85489
16,35,12,70231
11,44,30,100432
8,42,28,86685
8,37,26,76978
17,39,16,94693
11,45,31,105299
14,47,26,97450
9,46,31,80850
10,50,35,103640
8,36,25,82714
12,22,7,57415
8,46,32,103047
15,28,8,83668
8,30,17,71111
18,45,20,104442
8,22,9,53785
9,29,15,75879
9,45,31,101151
13,32,15,81793
14,38,17,98672
12,29,14,72516
8,56,42,113832
8,56,45,123170
10,54,37,121290
9,26,11,63611
12,60,41,133285
17,49,27,103948
13,28,9,58855
14,30,11,67040
11,29,15,59961
14,33,16,80382
18,55,31,116660
15,54,33,126242
18,44,19,87670
8,45,30,106339
13,58,40,116150
