student_id,study_hours,attendance,previous_score,sleep_hours,final_score,passed
1,1.5,62,48,5.5,45,0
2,2.0,68,52,6.0,50,0
3,2.5,70,55,6.5,54,0
4,3.0,74,58,6.0,59,0
5,3.5,78,60,7.0,64,1
6,4.0,80,63,7.0,68,1
7,4.5,82,65,7.5,72,1
8,5.0,85,68,7.0,76,1
9,5.5,88,72,8.0,81,1
10,6.0,90,75,7.5,85,1
11,1.0,58,45,5.0,42,0
12,2.2,65,50,6.0,49,0
13,2.8,72,57,6.5,57,0
14,3.2,76,61,7.0,63,1
15,3.8,79,64,6.5,67,1
16,4.2,83,66,7.5,71,1
17,4.8,86,70,8.0,77,1
18,5.2,89,73,7.5,80,1
19,5.8,91,77,8.0,86,1
20,6.5,94,82,7.5,91,1
21,1.8,60,47,5.5,46,0
22,2.7,69,54,6.0,53,0
23,3.4,75,59,6.5,61,1
24,4.1,81,62,7.0,69,1
25,5.0,87,69,7.5,78,1
26,6.2,92,78,8.0,88,1
27,2.3,66,51,5.5,51,0
28,3.6,77,63,6.5,65,1
29,4.6,84,67,7.0,74,1
30,5.7,90,74,8.0,83,1
