household_id,household_size,rooms,appliances,temp_c,income,electricity_kwh,high_usage
1,2,2,4,18,10028000,95,0
2,3,3,6,20,10035000,125,0
3,4,3,8,22,10042000,160,0
4,5,4,10,10,10048000,205,1
5,6,4,12,25,10052000,235,1
6,2,2,5,21,10030000,110,0
7,3,3,7,23,10038000,145,0
8,4,4,9,20,10045000,190,1
9,5,4,11,26,10050000,225,1
10,7,5,15,27,10060000,310,1
11,1,1,3,19,10025000,70,0
12,2,3,5,22,10032000,115,0
13,3,3,7,24,10040000,150,0
14,4,4,10,26,10046000,200,1
15,6,5,13,28,10055000,270,1
16,2,2,4,17,10029000,90,0
17,3,3,6,19,10036000,120,0
18,4,3,8,21,10041000,155,0
19,5,4,11,23,10049000,215,1
20,6,5,14,26,10057000,285,1
21,2,2,5,20,10031000,105,0
22,3,3,7,22,10037000,135,0
23,4,4,9,24,10044000,180,1
24,5,4,12,25,10051000,230,1
25,7,5,16,28,10065000,325,1
26,1,2,3,18,10027000,75,0
27,2,3,5,21,10033000,115,0
28,4,3,8,23,10043000,165,0
29,5,4,10,26,10050000,210,1
30,6,5,13,27,10058000,275,1
