,iso3,year,gdp_per_capita,population_density,urban_population,hiv_prevalence,health_expenditure
0,,2000,22428.1726072309,24.1575742470418,76.1243587136707,2.87280879474132,9.34521106919875
1,,2001,22129.0189979774,24.2811850954491,76.3835804739705,2.81866828810534,9.81638224029344
2,,2002,22974.3592654579,24.4058781148535,76.70572876164,2.72379667559295,10.2424787532957
3,,2003,25642.0998662756,24.533525569898,77.0606383849569,2.62463350031246,10.4057550803766
4,,2004,28482.3042788075,24.66742254643,77.4095974944961,2.54769035537605,10.3262123369465
5,,2005,30080.7834726251,24.8013186146303,77.7101607010208,2.45727754274054,10.3433244324205
6,,2006,31743.3108447684,24.9527732277616,77.9906658084009,2.3798795545133,10.3646815753186
7,,2007,34703.2215480124,25.1199074291294,78.2586161871986,2.31724393222327,10.3126291946435
8,,2008,36948.6937394895,25.3025730470269,78.4997972665246,2.26430116207016,10.4337022587102
9,,2009,34160.3443365118,25.4576515994462,78.6868043607071,2.23619938807944,11.4205623145472
10,,2010,35833.7115834135,25.5705677162573,78.8495856511893,2.20568007318537,11.2716933458789
11,,2011,38837.3278350951,25.6839011579019,78.9755394321621,2.16284505799274,11.2225382579136
12,,2012,38756.7592855469,25.8352392053992,79.0761339258933,2.15194625281011,11.3356097862024
13,,2013,39099.8824050102,25.9831278025369,79.1842530422909,2.10995690910933,11.3372978700475
14,,2014,39576.1363506592,26.1252355290003,79.2816675807236,2.10842856456583,11.5370992796088
15,,2015,36734.6310227088,26.2894161660926,79.387375702382,2.06302320193934,11.9835677648013
16,,2016,37232.2355227355,26.4431373577626,79.4995336680827,2.03821895364681,12.1464340437715
17,,2017,38970.4660370017,26.559616576169,79.5646323222643,1.97373554081409,12.0573603254639
18,,2018,41295.6262218527,26.6460082284745,79.6265084521732,1.93867913211044,11.9733880524105
19,,2019,41570.3760789982,26.7407562332035,79.6868403779463,1.88130292184671,12.1635303867058
20,,2020,40453.9686533276,26.805040676527,79.7425183592538,1.82787700094659,13.6298864951756
21,,2021,45545.9474677756,26.8644658703963,79.808750690419,1.7617852080403,13.0944002745069
22,,2022,47056.4874992383,27.0030940724314,79.9047258563531,1.71096166692432,12.5509007800305
23,,2023,49141.5400740302,27.1982249860451,80.017512944144,1.64066127780418,12.5381196027244
24,,2024,50907.2761474674,,80.1320285164635,1.57456432364776,
25,,2025,53997.2579539931,,80.2483970459505,,
26,ABW,2000,20681.0230269625,503.266666666667,65.3545497799987,,
27,ABW,2001,20740.1325828172,507.994444444444,65.3351137913914,,
28,ABW,2002,21307.2482505267,511.522222222222,65.2820691308217,,
29,ABW,2003,21949.4859960868,517.377777777778,65.1982922587168,,
30,ABW,2004,23700.6319899197,528.544444444444,65.0886533661558,,
31,ABW,2005,24171.8371325422,542.416666666667,64.9580226442175,,
32,ABW,2006,24845.65848362,552.25,64.811270283981,,
33,ABW,2007,26736.3089444046,556.388888888889,64.6532664765254,,
34,ABW,2008,28171.9094008501,560.65,64.4888814129295,,
35,ABW,2009,25134.7712303589,564.466666666667,64.3229852842726,,
36,ABW,2010,24093.1401510626,565.766666666667,64.1612965549477,,
37,ABW,2011,25712.3843015186,569.95,63.9992605838571,,
38,ABW,2012,25119.6655449838,578.388888888889,63.8252085199599,,
39,ABW,2013,25813.5714408438,587.083333333333,63.6382914355326,,
40,ABW,2014,26129.8390617693,593.372222222222,63.4392531303795,,
41,ABW,2015,27458.2201537506,599.477777777778,63.2288374043053,,
42,ABW,2016,27441.5502144601,604.038888888889,63.0077880571142,,
43,ABW,2017,28440.0416881491,604.083333333333,62.7768488886109,,
44,ABW,2018,30082.1584226798,605.044444444444,62.5367636985996,,
45,ABW,2019,30654.4851235397,606.683333333333,62.288276286885,,
46,ABW,2020,22664.3709949437,603.261111111111,62.0028837566365,,
47,ABW,2021,26827.3447869986,598.333333333333,61.9275339886843,,
48,ABW,2022,31000.5713798732,596.166666666667,61.8811657924257,,
49,ABW,2023,34897.6183932009,596.438888888889,61.8351492675589,,
50,ABW,2024,38590.5650288641,,61.7909396819594,,
51,ABW,2025,,,61.7485249229588,,
52,AFE,2000,706.728440776917,33.3035106646153,28.4686879776452,6.75886389256322,5.65752277451423
53,AFE,2001,625.82886019759,34.1768746149742,28.8315061435738,6.6925241851865,5.80326727984876
54,AFE,2002,630.513380226995,35.0798625833507,29.2210306166309,6.59504903207733,5.40821268568021
55,AFE,2003,815.433657549659,36.010765348288,29.6390356014361,6.45990292102675,5.98967011756499
56,AFE,2004,989.017114690163,36.5295746590212,30.0878370669042,6.30948272722763,6.06992747717349
57,AFE,2005,1126.29920363201,37.5135919528181,30.5372758629303,6.16632748880233,5.90898113167535
58,AFE,2006,1235.17087902029,38.5286306361067,30.9876495544836,6.05012606826975,5.91102141456223
59,AFE,2007,1381.4452514345,39.5795390720338,31.3629773942904,5.96558411616014,5.92495785790316
60,AFE,2008,1447.42777531825,40.6724831497104,31.848999584948,5.87885514159126,5.80170556350869
61,AFE,2009,1408.61565890435,41.8010527779488,32.2400677597918,5.81776878903963,6.31330626650674
62,AFE,2010,1628.76857300184,42.9574912715677,32.5903609820214,5.7840935656365,6.35972537295694
63,AFE,2011,1761.83829586572,44.1254633537399,32.9380985869792,5.7315024698247,6.2708392029194
64,AFE,2012,1731.86909640114,37.6965165566856,33.2867060801392,5.68904496996849,6.07532688187087
65,AFE,2013,1705.83900348854,38.7469753050245,33.6673142772775,5.61150707791288,6.06318749507177
66,AFE,2014,1689.98238051624,39.809154639038,34.0775774023013,5.57963728787852,5.71319321750065
67,AFE,2015,1498.71597073834,40.8918114438629,34.4906809355644,5.50777587182294,5.89158804069771
68,AFE,2016,1335.7431649955,41.9804907421639,34.8812106693274,5.41344977118105,6.01013121696575
69,AFE,2017,1529.92307995549,43.0987829827225,35.2829868326458,5.27403926006284,5.8615134661489
70,AFE,2018,1553.61794421394,44.2875973919034,35.714718464725,5.16868738905315,5.72726191770079
71,AFE,2019,1508.0315245887,45.5034869166531,36.0973307017698,5.03125994904424,5.75412533119706
72,AFE,2020,1351.50316694933,46.7425596337459,36.4883219609866,4.90133813008973,5.98549369692664
73,AFE,2021,1560.89462580275,47.9972954785225,36.9085426088518,4.75016647047109,5.94632006946188
74,AFE,2022,1675.90252377611,49.2580431681559,37.3605781096471,4.59421132174566,5.56646899236104
75,AFE,2023,1571.13270407815,50.5146975127966,37.7723012408349,4.41506303269652,5.54379730412469
76,AFE,2024,1628.22728900442,,38.2414414289603,4.23405759192118,
77,AFE,2025,1722.38561960923,,38.7021396558821,,
78,AFG,2000,174.930991430166,30.8638471091486,18.5581995230666,0.1,
79,AFG,2001,138.706821676113,31.099929472732,18.7412381251552,0.1,
80,AFG,2002,178.954088379235,32.77696058139,18.9412480133309,0.1,9.44339085
81,AFG,2003,198.871115728727,34.8543443263879,19.1600346409089,0.1,8.94125843
82,AFG,2004,221.763653873013,36.1232295355933,19.3993593959593,0.1,9.80847359
83,AFG,2005,254.184249149336,37.4171181945019,19.7059095753667,0.1,9.94828892
84,AFG,2006,274.218553561575,38.9802584977692,20.1104530189181,0.1,10.62276554
85,AFG,2007,376.223152003876,39.7250233813225,20.5906579215423,0.1,9.90467453
86,AFG,2008,381.73323802844,40.6031951918802,21.1241481349633,0.1,10.25649548
87,AFG,2009,452.053705477043,42.1110666482682,21.6885475109053,0.1,9.81848717
88,AFG,2010,560.621505463146,43.3652070588596,22.2614799010924,0.1,8.56967163
89,AFG,2011,606.694676337726,44.9959492816951,22.8205691572485,0.1,8.56190777
90,AFG,2012,651.417134470046,46.8546892967205,23.3434391310979,0.1,7.89716864
91,AFG,2013,637.087099117099,48.4839765113534,23.8077136743646,0.1,8.80596447
92,AFG,2014,625.054941813938,50.2775447311531,24.1910166387726,0.1,9.52887821
93,AFG,2015,565.569730408751,51.8709105683578,24.4649118421568,0.1,10.10534763
94,AFG,2016,522.082215583898,53.2030296061205,24.6588345720126,0.1,11.81859016
95,AFG,2017,525.469770891619,54.7183278904681,24.8352821238871,0.1,12.62081718
96,AFG,2018,491.337221382603,56.3344817012404,24.9991645191406,0.1,14.20841885
97,AFG,2019,496.6025042585,58.0410606687825,25.1437258839803,0.1,14.83131981
98,AFG,2020,510.787063366811,59.9006163469942,25.2622103446137,0.1,15.53361416
99,AFG,2021,356.496214115892,61.3286907992579,25.3478620272481,0.1,21.50844383
100,AFG,2022,357.261152798144,62.2155405301811,25.3939250580909,0.1,23.0881691
101,AFG,2023,413.757894705303,63.5585008355948,25.4730529631167,0.1,14.9857626
102,AFG,2024,416.871146273728,,25.7007352636188,0.1,
103,AFG,2025,,,25.9401644699898,,
104,AFW,2000,519.642599510731,30.3580377811532,38.8599330559094,2.64775829453711,3.43757730828123
105,AFW,2001,533.677179675639,31.2198040412214,39.460746992679,2.61680318224039,3.43627952626766
106,AFW,2002,620.160708220684,32.1095196876334,40.0574081818729,2.56372739507771,3.09582574879302
107,AFW,2003,698.41059773746,33.02587394343,40.6531005844209,2.52135105513307,4.43612199959233
108,AFW,2004,839.345851531298,33.9727377849119,41.2483844799298,2.47008080466007,4.2695259185259
109,AFW,2005,1001.134464675,34.9507725149186,41.8453135723565,2.36143733297647,4.12261312394282
110,AFW,2006,1236.31604057497,35.9529143976528,42.4489363789709,2.29811459045382,4.03887465403461
111,AFW,2007,1407.72881703262,36.9834635598036,43.0212188517424,2.20861253245966,3.81897623428866
112,AFW,2008,1668.61565308526,38.0457445350208,43.5885609704807,2.1553996279663,3.63072424603027
113,AFW,2009,1455.22391926317,39.125749797143,44.1595723394052,2.13007500190667,3.73365983830438
114,AFW,2010,1664.49204549878,40.2343930539987,44.7340356184081,2.0761054599363,3.49414443704428
115,AFW,2011,1846.10292552744,41.3866190643593,45.306921990073,2.00010279092508,3.47733809150255
116,AFW,2012,1943.37255535786,42.5517015669185,45.8819111655464,1.96034646402795,3.45159999875064
117,AFW,2013,2134.24752369303,43.7268663398845,46.4556737847896,1.88096702993626,3.58102975824724
118,AFW,2014,2224.32958643376,44.9333546692491,47.0323463433828,1.82957478152705,3.59914074177932
119,AFW,2015,1863.40151301991,46.1581148336572,47.6135647497926,1.7489755714155,3.81020228561836
120,AFW,2016,1632.42497788744,47.4030252780855,48.1862744131428,1.71185002348265,3.80268742713908
121,AFW,2017,1577.20349674013,48.6580650867034,48.7610092648065,1.624545675018,3.73310550709269
122,AFW,2018,1723.11446346681,49.901207303295,49.3326762524323,1.59123080826967,3.28852693690847
123,AFW,2019,2219.41255534667,51.1313169145412,49.9054685471984,1.51257436708001,3.24983385590998
124,AFW,2020,2034.43793971923,52.3656565444401,50.4923214842153,1.42640459033144,3.78820568649626
125,AFW,2021,2116.9382941844,53.6138585392315,51.0894191806819,1.40295971543152,4.13565471129464
126,AFW,2022,2143.07209365676,54.8727077276867,51.7001028474527,1.32457702787343,4.17450107095049
127,AFW,2023,1846.24681069313,56.1939927079753,52.3021093132307,1.24703383562524,4.14260145115394
128,AFW,2024,1416.22841156776,,52.8788239433226,1.21659561149006,
129,AFW,2025,1600.05837434388,,53.4772052295821,,
130,AGO,2000,563.733795571487,12.9901892997513,50.5070653484197,1.4,1.68525279
131,AGO,2001,533.586202412447,13.4332301275367,51.7224790407329,1.4,3.95882654
